Artist,Followers,NumAlbums,YearFirstAlbum,Gender
Cody Johnson,"235,754",6,2009,M
O.A.R.,"231,714",15,1997,M
Afroman,"230,594",12,2001,M
Chante Moore,"228,772",10,1992,F
Crazy Town,"226,209",3,1999,M
Andy Williams,"225,919",48,1961,M
The Ready Set,"222,484",5,2009,M
Granger Smith,"220,737",10,1999,M
Melissa Etheridge,"219,743",21,1988,F
Slaughterhouse,"218,458",3,2009,M
Eve 6,"216,986",4,1998,M
The Revivalists,"215,392",4,2010,M
Mike Jones,"213,342",8,2005,M
Howie Day,"213,232",5,2003,M
Da Brat,"212,745",5,1994,F
Idina Menzel,"209,158",10,1998,F
Collin Raye,"208,616",20,1991,M
Ben Rector,"208,118",7,2010,M
Our Lady Peace,"205,586",11,1994,M
Craig Campbell,"205,230",3,2011,M
Neal McCoy,"202,913",15,1990,M
Lil Rob,"202,653",16,1997,M
Wyclef Jean,"200,889",14,1997,M
Everlast,"200,550",11,1990,M
Guy Sebastian,"200,198",10,2003,M
Metro Station,"199,011",3,2007,M
Wynonna Judd,"198,561",12,1992,F
Mr. Vegas,"198,407",14,1998,M
Shawty Lo,"198,329",4,2010,M
Dem Franchize Boyz,"196,136",4,2004,M
Ben Folds,"193,518",14,1998,M
Perry Como,"193,290",37,1958,M
Asher Roth,"192,867",4,2009,M
James Newton Howard,"192,275",27,1993,M
M2M,"191,590",3,2000,F
Patty Loveless,"191,026",15,1988,F
Alison Krauss,"190,200",9,1987,F
Glen Campbell,"187,959",56,1962,M
Will Young,"186,988",11,2002,M
Jermaine Dupri,"186,717",4,1998,M
Beth Hart,"186,545",16,1996,F
WC,"184,880",5,1998,M
David Cook,"183,202",3,2008,M
Anastacia,"183,146",13,1999,F
Jason Michael Carroll,"182,350",4,2007,M
Elephant Man,"179,825",10,2000,M
Sister Hazel,"179,428",15,1994,M
Bubba Sparxxx,"178,778",10,2001,M
Phil Vassar,"178,766",12,2000,M
Mindless Behavior,"177,301",3,2011,M
Clipse,"176,795",4,2002,M
N.O.R.E.,"176,102",13,1998,M
k.d. lang,"173,719",12,1987,F
Eiffel 65,"173,149",4,2001,M
SHeDAISY,"172,832",6,1999,F
Danny Gokey,"171,123",6,2010,M
Estelle,"169,598",4,1980,F
Lit,"167,113",4,1999,M
Hugh Laurie,"166,565",4,1988,M
The Afters,"166,400",7,2005,M
Mark Wills,"165,959",8,1996,M
Dwele,"163,876",5,2003,M
Daniel Powter,"163,583",8,2005,M
Edwin McCain,"163,158",12,1992,M
Aaron Carter,"162,763",5,2000,M
Killer Mike,"161,607",7,2005,M
Augustana,"159,403",4,2005,M
Hurricane Chris,"156,848",4,2007,M
Maria Mena,"156,664",8,2002,F
Amel Larrieux,"154,624",5,1999,F
Smokie Norful,"153,440",15,2002,M
Stacie Orrico,"151,601",3,2000,F
Slum Village,"151,412",21,1999,M
Bilal,"151,360",4,2001,M
Teairra Mari,"151,159",3,2005,F
Jose Feliciano,"150,572",74,1965,M
Tony Yayo,"148,081",3,2005,M
Ruff Endz,"147,449",4,2000,M
Roscoe Dash,"146,346",8,2010,M
Emerson Drive,"146,243",8,2002,M
Shyne,"145,645",5,2000,M
Rich Boy,"144,768",3,2007,M
The Ataris,"143,500",9,1997,M
Trillville,"141,368",3,2008,M
Josh Gracin,"139,473",4,2004,M
Susan Boyle,"138,687",8,2009,F
Dilated Peoples,"135,956",6,2000,M
Billy Ray Cyrus,"135,710",18,1992,M
Brenda Lee,"135,670",30,1959,F
Freeway,"135,232",29,2003,M
The Click Five,"135,116",5,2005,M
Framing Hanley,"134,327",6,2007,M
Darryl Worley,"132,355",8,2000,M
Edward Maya,"131,839",7,2009,M
Shwayze,"131,757",7,2008,M
Default,"130,899",5,2001,M
Amiee Mann,"130,217",11,1993,F
David Lee Murphy,"130,041",4,1994,M
Murphy Lee,"130,041",4,1994,M
Flobots,"126,551",5,2008,M
Maino,"126,400",14,2008,M
Chris Lake,"126,175",3,2009,M
Oakenfold,"124,743",90,2001,M
Spearhead,"124,482",11,1994,M
Michael Franti,"124,482",11,1994,M
The Alchemist,"124,214",15,2004,M
Pharoahe Monch,"119,669",4,2006,M
Lostprophets,"119,047",6,2001,M
The Ronettes,"118,326",4,1962,F
American Hi-Fi,"117,936",8,2001,M
Kris Allen,"116,442",6,2009,M
Field Mob,"116,173",5,2000,M
Lil' Mo,"110,058",9,2001,F
Josh Thompson,"107,026",3,2010,M
Jessie James Decker,"106,747",4,2009,F
Mannie Fresh,"105,744",3,2004,M
B*Witched,"105,645",3,1998,F
Unk,"105,466",3,2006,M
Flex,"104,438",5,2007,M
Nick Lachey,"104,032",3,2003,M
Katharine McPhee,"102,946",7,2006,F
Keith Murray,"101,321",10,1994,M
Yael Naim,"101,038",5,2007,F
Nappy Roots,"98,720",9,2002,M
Darude,"98,483",9,2000,M
Anna Nalick,"98,076",3,2005,F
Young Gunz,"97,397",4,1997,M
September,"95,948",8,2004,F
Charice,"92,854",4,2010,M
Kate Voegele,"92,291",6,2007,F
V.I.C.,"92,078",4,2008,M
Mary Chapin Carpenter,"90,637",17,1987,F
Erick Sermon,"90,629",14,1993,M
Fountains Of Wayne,"90,123",5,1996,M
NewSong,"87,688",18,1988,M
Fastball,"87,150",7,1996,M
Wayne Wonder,"84,687",17,1992,M
Black Rob,"84,210",6,2000,M
The Beatnuts,"83,673",4,1994,M
Julie Roberts,"82,800",5,2004,F
High Valley,"80,711",5,2010,M
Sunshine Anderson,"79,300",3,2001,F
Pat Green,"77,434",12,1995,M
Liz Phair,"77,360",7,1993,F
Bucky Covington,"76,829",3,2007,M
Nick Cannon,"75,366",7,2003,M
Ruben Studdard,"73,296",7,2003,M
Elliott Yamin,"73,177",6,2007,M
Steve Wariner,"71,001",14,1991,M
Cali Swag District,"70,364",4,2011,M
Pilar Montenegro,"69,929",5,1996,F
Ty Herndon,"65,289",10,1995,M
TRUSTcompany,"65,013",3,2002,M
Chely Wright,"64,759",10,1994,F
Nitty,"64,342",33,1967,M
Fefe Dobson,"63,653",3,2003,F
R.L.,"63,639",13,1990,M
BT,"63,537",24,1995,M
Azul Azul,"63,213",28,2002,M
Billy Dean,"62,986",16,1990,M
Jamie O'Neal,"62,694",3,2000,F
Panjabi MC,"62,563",14,2000,M
Chico DeBarge,"61,572",4,1997,M
Tracie Spencer,"60,194",3,1988,F
Lasgo,"59,069",6,2003,F
Cham,"59,016",4,2006,M
James Otto,"58,387",3,2004,M
Lou Bega,"56,076",5,1999,M
Brown Boy,"54,960",8,2003,M
Kristinia DeBarge,"54,930",3,2009,F
The Wreckers,"54,751",3,2006,F
Kevin Lyttle,"52,989",4,2004,M
Brooke Hogan,"52,597",3,2006,F
Spose,"52,071",9,2008,M
Hot Boys,"51,417",4,1997,M
Darren Hayes,"50,475",4,2002,M
Nine Days,"50,215",5,1996,M
Andy Griggs,"48,901",4,1999,M
Son By Four,"48,316",9,2000,M
Ryan Cabrera,"47,787",5,2004,M
Orianthi,"47,558",3,2009,F
Caesars,"47,469",7,1998,M
Jordan Knight,"47,229",4,1999,M
Los Lonely Boys,"46,830",11,2004,M
Yung L.A.,"44,057",10,2009,M
DJ Sammy,"43,862",6,2002,M
Lee DeWyze,"43,452",6,2007,M
Lumidee,"43,357",4,2003,F
Vitamin C,"42,978",3,1999,F
Jessica Andrews,"42,451",4,1999,F
Lila McCann,"42,444",4,1997,F
BBMak,"42,353",3,2000,M
Sunny Sweeney,"42,237",4,2006,F
David Ball,"41,480",10,1994,M
JT Money,"40,362",8,1999,M
El Chombo,"39,494",3,1998,M
Heather Headley,"37,903",6,2002,F
Anya Marina,"37,479",5,2005,F
Ca$his,"37,226",8,2011,M
Lady Sovereign,"35,769",4,2005,F
Jimmy Wayne,"35,621",6,2003,M
Dorrough,"34,628",7,2009,M
Lil' Troy,"33,648",4,1998,M
Stellar Kart,"33,152",6,2005,M
Profyle,"32,190",3,1999,M
Clay Aiken,"31,616",7,2003,M
Jeff Bates,"30,895",7,2003,M
Burl Ives,"30,827",55,1949,M
Buddy Jewell,"30,470",9,2001,M
Kardinal Offishall,"29,367",5,2001,M
Teddy Geiger,"28,862",5,1980,F
Yolanda Be Cool,"26,668",8,2010,M
Carolyn Dawn Johnson,"26,499",4,2000,F
Jack Ingram,"26,475",16,1993,M
Darlene Love,"26,421",7,1963,F
Tanto Metro,"26,400",5,1999,M
Fragma,"26,086",4,2001,F
Josh Kelley,"25,294",10,2003,M
Lee Greenwood,"24,702",38,1983,M
Sonique,"24,629",4,2000,F
Gene Autry,"23,974",23,1929,M
LFO,"23,274",3,1999,M
Van Zant,"22,558",6,1985,M
V V Brown,"21,295",4,2009,F
Steve Holy,"21,109",3,2000,M
Zombie Nation,"20,829",5,1999,M
Cupid,"20,638",9,2002,M
Baha Men,"20,306",10,1992,M
Chad Brock,"18,746",3,1998,M
Dave Days,"18,685",4,2009,M
2 Pistols,"18,436",3,2008,M
Lustra,"17,329",4,2001,M
Sherrie Austin,"16,979",3,1997,F
Reina,"16,730",4,2011,F
Tessanne Chin,"16,619",3,2010,F
Loon,"16,452",5,2003,M
The Pack,"16,322",5,2006,M
Billy Gilman,"16,145",7,2000,M
Julianne Hough,"16,132",3,2008,F
Crystal Bowersox,"13,693",4,2010,F
Mr. Cheeks,"12,929",5,2001,M
Chris Willis,"11,466",7,2006,M
Tammy Cochran,"11,232",4,1994,F
Alisan Porter,"11,167",4,2009,F
Bobby Helms,"10,470",21,1957,M
Blake Lewis,"10,226",4,2007,M
Tony Lucca,"10,035",7,2006,M
Bo Bice,"9,944",3,2005,M
Steve Azar,"9,723",6,1996,M
Guerilla Black,"9,506",3,2004,M
Aaron Lines,"8,930",3,2003,M
Dcup,"6,787",6,2010,M
Alpha Rev,"6,787",4,2008,M
Taylor Hicks,"6,677",5,2006,M
Brooke White,"6,206",6,2006,F
Benzino,"4,593",4,2001,M
Kimberley Locke,"4,093",3,2004,F
Ron Browz,"4,070",14,2010,M
Diana DeGarmo,"4,011",3,2004,F
Coo Coo Cal,"2,477",4,2002,M
Toya,"2,425",9,2001,F
Jeannie Ortega,"1,442",3,2006,F
Eric Heatherly,"1,093",3,2000,M
Terry Dexter,790,3,1999,F
Down A.K.A. Kilo,775,5,1998,M
